name,artist,album,duration
晴天,周杰伦,叶惠美,"04:29"
说好的幸福呢,周杰伦,魔杰座,04:16
七里香,周杰伦,七里香,04:59
搁浅,周杰伦,七里香,04:00
蒲公英的约定,周杰伦,我很忙,04:07
兰亭序,周杰伦,魔杰座,04:13
我落泪情绪零碎,周杰伦,跨时代,04:17
一路向北,周杰伦,J III MP3 Player,04:55
花海,周杰伦,魔杰座,04:24
孤勇者,陈奕迅,孤勇者,04:16
阴天快乐,陈奕迅,rice & shine,04:20
白玫瑰,陈奕迅,What's Going On...? (Remastered 2019),04:00
富士山下,陈奕迅,What's Going On...?,04:19
单车,陈奕迅,Shall We Dance? Shall We Talk!,03:31
十年,陈奕迅,黑白灰,03:25
不要说话,陈奕迅,不想放手,04:45
最佳损友,陈奕迅,Life Continues,03:55
陪你度过漫长岁月,陈奕迅,"陪你度过漫长岁月 (""陪安东尼度过漫长岁月""电影主题曲)",04:02
黑暗骑士 (feat. 五月天),林俊杰,因你 而在,05:04
交换余生,林俊杰,交换余生,04:36
可惜没如果,林俊杰,新地球,04:58
修炼爱情,林俊杰,因你 而在,04:47
她说,林俊杰,她说 概念自选辑,05:20
我还想她,林俊杰,JJ陆,04:07
浪漫血液,林俊杰,新地球,04:32
江南,林俊杰,第二天堂,04:27
美人鱼,林俊杰,第二天堂,04:14
后会无期,G.E.M. 邓紫棋,后会无期 电影原声带,03:43
Where Did U Go,G.E.M. 邓紫棋,G.E.M.,03:54
多远都要在一起,G.E.M. 邓紫棋,新的心跳,03:37
倒数,G.E.M. 邓紫棋,另一个童话,03:49
泡沫,G.E.M. 邓紫棋,Xposed,04:18
光年之外,G.E.M. 邓紫棋,光年之外,03:55
桃花诺,G.E.M. 邓紫棋,上古情歌 电视剧原声带,03:39
喜欢你,G.E.M. 邓紫棋,喜欢你,03:59
再见,G.E.M. 邓紫棋,新的心跳,03:26
后来的我们,五月天,自传,05:46
突然好想你,五月天,后青春期的诗,04:25
你不是真正的快乐,五月天,后青春期的诗,04:59
我不愿 让你一个人,五月天,第二人生（明日版）,04:25
步步,五月天,步步 自选作品辑 the Best of 1999-2013,04:33
五月天,S.H.E,Play,03:52
五月天,火鸡,五月天,03:27
盛夏光年,五月天,步步 自选作品辑 the Best of 1999-2013,04:42
私奔到月球,五月天,离开地球表面 Jump!,03:46
天外来物,薛之谦,天外来物,04:17
演员,薛之谦,绅士,04:21
绅士,薛之谦,绅士,04:50
陪你去流浪,薛之谦,尘,04:34
其实,薛之谦,意外,04:02
刚刚好,薛之谦,初学者,04:10
那是你离开了北京的生活,薛之谦,那是你离开了北京的生活,04:28
像风一样,薛之谦,渡 The Crossing,04:15
怪咖,薛之谦,怪咖,04:10
